Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
US-2019-103800,1/3/19,1/7/19,Standard Class,DP-13000,OFF-PA-10000174,16.448,2,0.2,5.5512
US-2019-112326,1/4/19,1/8/19,Standard Class,PO-19195,OFF-BI-10004094,3.54,2,0.8,-5.487
US-2019-112326,1/4/19,1/8/19,Standard Class,PO-19195,OFF-LA-10003223,11.784,3,0.2,4.2717
US-2019-112326,1/4/19,1/8/19,Standard Class,PO-19195,OFF-ST-10002743,272.736,3,0.2,-64.7748
US-2019-141817,1/5/19,1/12/19,Standard Class,MB-18085,OFF-AR-10003478,19.536,3,0.2,4.884
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,FUR-CH-10004063,2573.82,9,0,746.4078
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,OFF-AR-10001662,5.48,2,0,1.4796
US-2019-106054,1/6/19,1/7/19,First Class,JO-15145,OFF-AR-10002399,12.78,3,0,5.2398
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,OFF-BI-10004632,609.98,2,0,274.491
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,OFF-FA-10001883,31.12,4,0,0.3112
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,OFF-PA-10000955,6.54,1,0,3.0084
US-2019-130813,1/6/19,1/8/19,Second Class,LS-17230,OFF-PA-10002005,19.44,3,0,9.3312
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,TEC-PH-10004539,755.96,4,0,204.1092
US-2019-167199,1/6/19,1/10/19,Standard Class,ME-17320,TEC-PH-10004977,391.98,2,0,113.6742
US-2019-105417,1/7/19,1/12/19,Standard Class,VS-21820,FUR-FU-10004864,76.728,3,0.6,-53.7096
US-2019-105417,1/7/19,1/12/19,Standard Class,VS-21820,OFF-BI-10003708,10.43,7,0.8,-18.2525
US-2019-135405,1/9/19,1/13/19,Standard Class,MS-17830,OFF-AR-10004078,9.344,2,0.2,1.168
US-2019-135405,1/9/19,1/13/19,Standard Class,MS-17830,TEC-AC-10001266,31.2,3,0.2,9.75
